# Created by CSS Data Browser Version 4.1.4.201507131348
# 
# Start Time : 2016-10-24 11:24:00.000 +0200
# End Time   : 2016-10-24 12:24:00.000 +0200
# Source     : Plot
# Format     : Decimal (6 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: STEAM:PNC:GetVolt
# Archives:
# 
# Channel: STEAM:PNC:GetCurr
# Archives:
# 

# Time	STEAM:PNC:GetVolt Value	Negative Error	Positive Error	Severity	Status	STEAM:PNC:GetCurr Value	Negative Error	Positive Error	Severity	Status
2016/10/24 11:24:53.320219960	4,994000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:24:53.927917356	4,994000	0	0	NONE	NO_ALARM	0,001200	0	0	NONE	NO_ALARM
2016/10/24 11:24:54.320252261	4,998000	0	0	NONE	NO_ALARM	0,001200	0	0	NONE	NO_ALARM
2016/10/24 11:24:54.927943013	4,998000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:24:55.320277543	5,010000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:24:55.927955921	5,010000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:24:56.927923032	5,010000	0	0	NONE	NO_ALARM	0,001300	0	0	NONE	NO_ALARM
2016/10/24 11:24:57.320342262	5,512000	0	0	NONE	NO_ALARM	0,001300	0	0	NONE	NO_ALARM
2016/10/24 11:24:57.927934320	5,512000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:24:58.320292052	5,491000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:24:58.927944786	5,491000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:24:59.320315380	5,503000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:24:59.927937684	5,503000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:00.927927199	5,503000	0	0	NONE	NO_ALARM	0,001500	0	0	NONE	NO_ALARM
2016/10/24 11:25:01.320280299	5,481000	0	0	NONE	NO_ALARM	0,001500	0	0	NONE	NO_ALARM
2016/10/24 11:25:01.927893485	5,481000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:02.320225183	5,503000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:03.320247926	5,497000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:03.927913518	5,497000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:25:04.320242850	5,484000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:25:04.927902261	5,484000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:05.320253549	5,503000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:05.927921737	5,503000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:25:06.320257582	5,491000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:25:06.927917389	5,491000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:07.320254696	5,494000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:07.927903644	5,494000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:25:08.927913880	5,494000	0	0	NONE	NO_ALARM	0,002400	0	0	NONE	NO_ALARM
2016/10/24 11:25:09.320246860	5,472000	0	0	NONE	NO_ALARM	0,002400	0	0	NONE	NO_ALARM
2016/10/24 11:25:09.927915053	5,472000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:10.320251921	5,518000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:10.927900280	5,518000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:25:11.320233049	5,500000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:25:11.927908212	5,500000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:12.320239649	5,503000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:12.927896068	5,503000	0	0	NONE	NO_ALARM	0,001300	0	0	NONE	NO_ALARM
2016/10/24 11:25:13.320227449	5,518000	0	0	NONE	NO_ALARM	0,001300	0	0	NONE	NO_ALARM
2016/10/24 11:25:13.927898784	5,518000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:14.320231748	5,497000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:14.927926460	5,497000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:25:15.320273846	5,484000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:25:15.927951048	5,484000	0	0	NONE	NO_ALARM	0,001900	0	0	NONE	NO_ALARM
2016/10/24 11:25:16.320287669	5,537000	0	0	NONE	NO_ALARM	0,001900	0	0	NONE	NO_ALARM
2016/10/24 11:25:16.927910973	5,537000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:17.320247706	5,512000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:17.927885734	5,512000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:18.320223293	5,503000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:18.927922373	5,503000	0	0	NONE	NO_ALARM	0,001200	0	0	NONE	NO_ALARM
2016/10/24 11:25:19.320267914	5,987000	0	0	NONE	NO_ALARM	0,001200	0	0	NONE	NO_ALARM
2016/10/24 11:25:19.927902678	5,987000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:20.320254897	5,993000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:21.320254835	5,996000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:21.927914794	5,996000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:22.320275227	6,002000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:22.927905685	6,002000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:23.320247783	5,974000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:23.927930267	5,974000	0	0	NONE	NO_ALARM	0,001300	0	0	NONE	NO_ALARM
2016/10/24 11:25:24.320285918	6,005000	0	0	NONE	NO_ALARM	0,001300	0	0	NONE	NO_ALARM
2016/10/24 11:25:24.927920525	6,005000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:25.320271547	6,017000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:25.927904446	6,017000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:25:26.320235493	5,993000	0	0	NONE	NO_ALARM	0,000100	0	0	NONE	NO_ALARM
2016/10/24 11:25:26.927929059	5,993000	0	0	NONE	NO_ALARM	0,000300	0	0	NONE	NO_ALARM
2016/10/24 11:25:27.927927197	5,993000	0	0	NONE	NO_ALARM	0,003600	0	0	NONE	NO_ALARM
2016/10/24 11:25:28.320262516	6,517000	0	0	NONE	NO_ALARM	0,003600	0	0	NONE	NO_ALARM
2016/10/24 11:25:28.927902441	6,517000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:25:29.320235176	6,507000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:25:29.927914781	6,507000	0	0	NONE	NO_ALARM	0,000700	0	0	NONE	NO_ALARM
2016/10/24 11:25:30.320252286	6,495000	0	0	NONE	NO_ALARM	0,000700	0	0	NONE	NO_ALARM
2016/10/24 11:25:30.927933287	6,495000	0	0	NONE	NO_ALARM	0,001500	0	0	NONE	NO_ALARM
2016/10/24 11:25:31.320273227	6,489000	0	0	NONE	NO_ALARM	0,001500	0	0	NONE	NO_ALARM
2016/10/24 11:25:31.927928217	6,489000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:32.320282295	6,994000	0	0	NONE	NO_ALARM	0,000600	0	0	NONE	NO_ALARM
2016/10/24 11:25:32.927912949	6,994000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:33.320255599	6,988000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:34.320298341	6,997000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:34.927922379	6,997000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:25:35.320272416	6,988000	0	0	NONE	NO_ALARM	0,000400	0	0	NONE	NO_ALARM
2016/10/24 11:25:35.927924588	6,988000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
2016/10/24 11:25:36.320290944	7,524000	0	0	NONE	NO_ALARM	0,000000	0	0	NONE	NO_ALARM
